doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_S_1992_09_17.pdf,12,96,0,0,0,0,0,0,0,0,0
15_9_19_S_1992_09_18.pdf,101,148,12,12,0,0,0,0,0,1,24
15_9_19_S_1992_09_19.pdf,111,38,0,12,0,0,0,0,0,1,0
15_9_19_S_1992_09_20.pdf,156,48,0,12,0,0,0,0,0,36,0
15_9_19_S_1992_09_21.pdf,45,34,11,22,0,0,0,0,0,22,11
15_9_19_S_1992_09_22.pdf,125,87,0,0,0,0,0,0,0,0,0
15_9_19_S_1992_09_23.pdf,124,4,0,0,0,0,0,0,0,1,0
15_9_19_S_1992_09_24.pdf,44,99,33,11,0,0,0,0,0,44,0
15_9_19_S_1992_09_25.pdf,36,48,0,12,0,0,0,0,0,0,0
15_9_19_S_1992_11_18.pdf,12,61,0,0,0,0,0,0,0,0,0
15_9_19_S_1992_11_19.pdf,11,58,22,0,0,0,0,0,0,0,22
15_9_19_S_1992_11_20.pdf,0,50,0,0,0,0,0,0,0,0,0
15_9_19_S_1992_11_21.pdf,1,88,22,0,0,0,0,0,0,0,11
15_9_19_S_1992_11_22.pdf,22,143,55,0,0,0,0,0,0,0,44
15_9_19_S_1992_11_23.pdf,157,24,0,0,0,0,0,0,0,24,0
15_9_19_S_1992_11_24.pdf,265,0,0,0,0,0,0,0,0,0,0
